,name,address,price,rating,amenities
0,Capital O 74658 Nandhana Vistaa,"Near manyata tech park, Kammanahalli, Bangalore·       6.6 km",₹1468,4.4 ," Reception ,  Power backup ,  TV "
1,SPOT ON 65593 Yatra Inn,"Near Majestic Railway station, Lalbagh, Bangalore·       2.0 km",₹687,4.2 ," Reception ,  CCTV Cameras ,  Power backup "
2,Capital O 74788 Hotel Nandhana Pride ,"Near Manyata Tech Park, Byatarayanapura, Bangalore·       9.8 km",₹1280,4.3 ," Parking Facility ,  Reception ,  Free Wifi "
3,OYO 11916 Varcity Plaza,"Near Cross Road, Maruti Nagar, Bangalore·       5.7 km",₹812,4.0 ," Elevator ,  Free Wifi ,  Geyser "
4,Collection O 77042 Kanaka Grand,"Hebbal, Bangalore·       7.2 km",₹1399,4.5 ," Parking Facility ,  Elevator ,  Power backup "
5,OYO 765 Hotel Sunil Residency,"West Of Chord Road, Shivajinagar, Bangalore·       5.4 km",₹2443,4.0 ," AC ,  TV "
6,Capital O BLR2499 Comfort Delight Hotel ,"India, Bangalore·       5.8 km",₹1297,3.8 ," Reception ,  Public Washroom ,  Security "
7,CAPITAL O 432 Hotel Victoria Heights,"Near St.Philomena's Hospital, Xavier Layout, Bangalore·       2.1 km",₹1182,4.4 ," Elevator ,  Free Wifi ,  Geyser "
8,OYO 18544 Amm Residency,"Mavalli, Bengaluru·       2.5 km",₹1014,4.4 ," Parking Facility ,  Free Wifi ,  Twin Single Bed "
9,SPOT ON 75564 Manyata Deluxe,"Near manyata tech park, Nagavara, Bangalore·       8.0 km",₹811,4.2 ," TV ,  AC ,  Reception "
10,OYO 2561 Hotel Resida Service Apartments,"Near Domlur Bridge, Indiranagar, Bangalore·       5.6 km",₹1525,4.5 ," Parking Facility ,  Free Wifi ,  Power backup "
11,CAPITAL O75134 Kings Suits,"Near Itsy Bitsy, Sector 3, Bangalore·       8.4 km",₹1715,4.2 ," Parking Facility ,  Reception ,  Free Wifi "
12,OYO 13670 Skylark Service Apartment,"Near Big Boys Cars, HRBR Layout, Bangalore·       7.9 km",₹1591,NEW," AC ,  TV "
13,OYO 22836 Hotel Amster Inn,"Near Mysore RD. Metro Station, FCI Layout, Bangalore·       7.4 km",₹1483,3.7 ," Private Entrance ,  Reception ,  Card Payment "
14,OYO 10379 Hotel Varcity Sapphire,"Near TVS - Prakruthi Mobikes, Ganga Nagar, Bangalore·       5.7 km",₹1333,4.4 ," Parking Facility ,  Elevator ,  Free Wifi "
15,Capital O 61546 Silver Key Suites,"Near Mra Bakery, Nanjundappa Rd, Bangalore·       6.4 km",₹1569,4.1 ," AC ,  AC ,  TV "
16,OYO 10522 Varcity Emerald,"Near KEB Colony, BTM Layout 1, Bangalore·       6.2 km",₹747,3.9 ," Reception ,  Free Wifi ,  Power backup "
17,Capital O 19360 Sai Suites Inn,"Near Kanaka Nagar, Nagavara, Bangalore·       8.1 km",₹1216,4.4 ," Parking Facility ,  Reception ,  Free Wifi "
18,OYO 78752 Hotel Abhimaani Inn,Opposite Satellite Bus Stand Mysore Road·       5.5 km,₹1465,3.6 ," Hair Dryer ,  Reception ,  Security "
19,CAPITAL O75993 Hotel Shanti Nivas,"Near Yeshwanthpur , Sri Raghavendra Layout, Bangalore·       8.3 km",₹1881,4.1 ," Free Wifi ,  CCTV Cameras ,  Power backup "
20,Capital O 12543 3 Square,"Next to Cafe Coffee Day, HBR Layout, Bangalore·       8.0 km",₹1438,4.6 ," Elevator ,  Free Wifi ,  Geyser "
21,OYO 74308 Kings Suites,"Near MSO Colony, Maruthi Seva Nagar, Bangalore·       5.0 km",₹1336,3.8 , AC 
22,OYO 30678 S K Residency,"Centrally Located, Near Malleshwaram Police Station, Srirampura, Bangalore·       4.0 km",₹1151,4.4 ," Reception ,  Daily Housekeeping ,  Refrigerator "
23,OYO 63230 Exotica Hotels,"Near Jayadeva Flyover, BTM Layout, Bangalore·       6.2 km",₹1013,4.5 ," Private Entrance ,  Reception ,  Free Wifi "
24,OYO 77430 Hiland Suites,"560001, Bangalore·       2.2 km",₹1660,4.4 ," Reception ,  Free Wifi ,  Power backup "
25,OYO 12033 Hotel Royal Residence,"Near Narayana Hospital, HSR Layout, Bangalore·       8.9 km",₹1255,4.1 ," Elevator ,  Electric Kettle ,  Free Wifi "
26,Capital O 2235 Oh My Rooms Indranagar,"Near DAD Quarters,Ulsoor, Bangalore·       4.2 km",₹1774,3.8 ," Elevator ,  Free Wifi ,  Geyser "
27,Collection O 80731 Metro Comforts Stay,"Bangalore Urban, Bangalore·       7.6 km",₹1512,NEW, AC 
28,OYO 6790 Hotel subha Residency,"Bangalore, Bangalore·       2.7 km",₹940,3.5 ," TV ,  Geyser ,  CCTV Cameras "
29,Capital O 67657 GN Suites,"Near Sub Registrar Office, Banaswadi, Bangalore·       7.4 km",₹1212,4.0 ," Reception ,  Power backup ,  24/7 Checkin "
30,OYO 80399 BLR1749- H MOCA 6SRN,"Hoysala Nagara, Bangalore·       4.9 km",₹1069,NEW," Free Wifi ,  CCTV Cameras ,  AC "
31,OYO 1161 Hotel Golden Residency,"Near Freedom Park, Gandhinagar, Bangalore·       1.8 km",₹1488,3.9 ," Elevator ,  Parking Facility ,  Free Wifi "
32,OYO 12761 High Street,"Near Kalyan silks commercial street, Bangalore·       1.8 km",₹1282,4.3 ," Free Wifi ,  Power backup ,  Card Payment "
33,Capital O 69041 Yo Hotel,"Near SR Krishnappa Garden, Swagath Road, Bangalore·       4.8 km",₹1299,4.2 ," Reception ,  Free Wifi ,  Power backup "
34,OYO 9253 Champion Comfort,"Near Sarvodaya College of Nursing, Magadi Rd, Bangalore·       6.2 km",₹1462,4.3 ," Parking Facility ,  Free Wifi ,  Power backup "
35,OYO 76298 Prime Suites,"Near Hatti Kappi, Yellappa Garden, Bangalore·       2.3 km",₹1355,4.7 ," Free Wifi ,  Power backup ,  Card Payment "
36,Capital O 77528 Smile Hotels,"India, Bangalore·       7.9 km",₹1684,3.9 ," Doctor on Call ,  Reception ,  Public Washroom "
37,Capital O 70156 Victorian Comforts,"Near Adams Creation, Victoria Layout, Bangalore·       2.4 km",₹1816,NEW," Reception ,  Free Wifi ,  Power backup "
38,Capital O 74657 Nandhana Regent,"Near Koramangala Rto, Bda Complex, Bangalore·       5.4 km",₹1291,4.2 ," Cot ,  AC ,  Bedside Table / Desk "
39,OYO 76390 Caesar's Palace ,"Cambridge Layout ulsoor, Bangalore·       4.2 km",₹1014,3.7 ," Elevator ,  Parking Facility ,  Free Wifi "
